Paper #,Device #,DOI,Manufacturer,Manuscripted submitted year,Country,Efficiency (%),Voc (V),Voc per cell (V),Isc (mA),Jsc (mA/cm^2),FF (%),Pmax (mW),Vmax (V),Imax (mA),Apeture area (cm^2),Device size type,Sweep direction,Sweep rate (mV/s),Certified year,Transparent conductive oxide type,Electron transport layer type,Perovskite composition,Perovskite chemistry type,extra,extra%,MA,FA,Pb,I,Br,Passive_layer,Perovksite depostion method,Hole transport layer type,Conductive electrode layer,Device structure,exposed_time,retained_per,stability
34,1,10.1126/science.aau5701,Peking University,2018,China,20.515,1.14,1.14,2.18,23.17176871,77.6,1.93,0.96,2.01,0.09408,sub cell (~0.1 cm^2),average,33,2018,ITO,SnO2,"(FA,MA,Cs)Pb(I,Br)3(Cl)/Eu(acac)3","(FA,MA,Cs)Pb(I,Br)3",Cs,0.33,0.33,0.33,1,1.5,1.5,Eu(acac)3,spin coating,Spiro-OMeTAD,Au,Planar,500,91,45.5
35,1,10.1002/adma.201804028,Southern University of Science and Technology,2018,China,19.5,1.12,1.12,2.48,25.75285566,67.7,1.88,0.88,2.14,0.0963,sub cell (~0.1 cm^2),forward,NA,2017,FTO,c-TiO2/mp-TiO2,FA0.85MA0.15PbI2.55Br0.45,"(FA,MA)Pb(I,Br)3",NA,0,0.15,0.85,1,2.55,0.45,NA,spin coating,polythiophene,Au,Mesoscopic,unknown,unknown,unknown
36,1,10.1038/s41560-019-0382-6,Peking University,2018,China,21.25,1.12,1.12,2.29,24.34098639,77.75,2.005,0.94,2.125,0.09408,sub cell (~0.1 cm^2),average,33,2019,ITO,SnO2,(Cs0.05FA0.54MA0.41)Pb(I0.98Br0.02)3/NaF,"(FA,MA,Cs)Pb(I,Br)3",Cs,0.05,0.41,0.54,1,0.98,0.02,NaF,spin coating,Spiro-OMeTAD,Au,Planar,1000,90,90
37,1,10.1039/c8ee02284d,Shaanxi Normal University,2018,China,16.6,1.08,1.08,1.88,20.76889085,73.9,1.5,0.88,1.71,0.09052,sub cell (~0.1 cm^2),forward,NA,2017,FTO,c-TiO2,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,spin coating,Spiro-OMeTAD,Au,Planar,500,96,48
38,1,10.1038/s41467-019-09093-1,Peking University,2018,China,20.87,1.1464,1.1464,2.237,23.77258236,76.7,1.965,0.964,2.038,0.0941,sub cell (~0.1 cm^2),average,40,2018,ITO,SnO2,"(FA,MA,Cs)Pb(I,Br)3","(FA,MA,Cs)Pb(I,Br)3",Cs,0.33,0.33,0.33,1,15,1.5,NA,spin coating,Spiro-OMeTAD,Au,Planar,1500,80,120
39,1,10.1038/s41467-019-08507-4,Beijing Institute of Technology,2018,China,20.5,1.13,1.13,2.275,24.18154762,75.45,1.93,0.93,2.08,0.09408,sub cell (~0.1 cm^2),average,33,2018,ITO,SnO2,FA0.85MA0.15Pb(I0.85Br0.15)3,"(FA,MA)Pb(I,Br)3",NA,0,0.15,0.85,1,2.55,0.45,NA,spin coating,Spiro-OMeTAD,Ag,Planar,unknown,unknown,unknown
40,1,10.1038/s41566-019-0398-2,"Institute of semicondutors, Chinese Academy of Sciences",2018,China,23.32,1.1791,1.1791,1.865,25.2368065,78.4,1.724,0.993,1.737,0.0739,sub cell (~0.1 cm^2),stablized,NA,2018,ITO,SnO2,FA0.92MA0.08PbI3/PEAI,"(FA,MA)PbI3",NA,0,0.08,0.92,1,3,0,PEAI,spin coating,Spiro-OMeTAD,Au,Planar,500,82,41
41,1,10.1002/aenm.201803258,Commonwealth Scientific and Industrial Research Organisation (CSIRO),2018,Australia,14.33,1.1892,1.1892,1.314,16.69419388,72.2,1.128,NA,NA,0.07871,sub cell (~0.1 cm^2),average,20,2018,ITO,PEDOT:PSS,(BA)2(MA)3Pb4I13,2D,BA,2,3,4,13,0,0,NA,drop casting,C60,Ag,Inverted planar,unknown,unknown,unknown
42,1,10.1002/adma.201806823,Panasonic Corporation,2018,Japan,20.275,1.112,1.112,23.895,23.9669007,76.1,20.22,0.9285,21.78,0.997,cell ( ~1 cm^2),average,NA,2018,ITO,c-TiO2/mp-TiO2,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,"(FA,MA,Cs)Pb(I,Br)3",Cs,0.05,0.161,0.788,1,2.49,0.51,NA,spin coating,PTAA,Au,Mesoscopic,1000,92,92
42,2,10.1002/adma.201806823,Panasonic Corporation,2018,Japan,20.435,1.1125,1.1125,23.87,23.94182548,76.8,20.38,0.9285,21.95,0.997,cell ( ~1 cm^2),average,NA,2018,ITO,c-TiO2/mp-TiO2,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,"(FA,MA,Cs)Pb(I,Br)3",Cs,0.05,0.161,0.788,1,2.49,0.51,NA,spin coating,PTAA,Au,Mesoscopic,1000,92,92
